n,steps,r_start,depth_len,sum_s,pressure_depth_count,first_pressure_j,first_pressure_depth,continuation_mass_at_first_pressure,retention_mass_at_first_pressure,l1_remainder,l2_remainder,l3_remainder,l4_remainder,l5_remainder,falling_l1,falling_l2,falling_l3,falling_l4,falling_l5
667,64,2,8,116,1,0,2,18,32,18,8,2,1,0,13,10,6,1,1
669,64,2,8,128,2,0,2,7,12,7,4,2,1,0,5,3,2,1,1
671,64,2,8,124,5,0,2,13,18,12,7,4,3,2,5,5,3,1,1
673,64,2,8,129,0,-1,-1,0,0,3,1,0,0,0,5,2,1,0,0
675,64,2,8,121,1,0,2,14,24,14,7,3,1,0,9,7,4,2,1
677,64,2,8,131,4,0,2,5,7,5,4,3,2,1,2,1,1,1,1
679,64,2,8,129,0,-1,-1,0,0,1,0,0,0,0,5,1,0,0,0
681,64,2,8,129,6,0,2,8,10,8,6,5,4,3,2,2,1,1,1
683,64,2,8,133,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
685,64,2,8,119,1,0,2,14,23,14,7,3,1,0,9,7,4,2,1
687,64,2,8,133,1,0,2,3,5,2,0,0,0,0,2,2,0,0,0
689,64,2,8,119,1,0,2,14,24,14,6,2,1,0,10,8,4,1,1
691,64,2,8,119,1,0,2,14,25,14,6,2,1,0,10,8,4,1,1
693,64,2,8,134,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
695,64,2,8,119,1,0,2,15,26,14,7,3,1,0,11,7,4,2,1
697,64,2,8,119,1,0,2,13,24,13,6,2,1,0,11,7,4,1,1
699,64,2,8,129,0,-1,-1,0,0,1,0,0,0,0,7,1,0,0,0
701,64,2,8,126,1,0,2,9,15,9,4,2,1,0,6,5,2,1,1
703,64,2,8,112,2,0,2,22,37,21,11,5,1,0,15,10,6,4,1
705,64,2,8,134,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
707,64,2,8,119,1,0,2,15,26,15,7,3,1,0,10,8,4,2,1
709,64,2,8,134,0,-1,-1,0,0,0,0,0,0,0,2,0,0,0,0
711,64,2,8,129,4,0,2,6,9,5,4,3,2,1,3,1,1,1,1
713,64,2,8,135,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
715,64,2,8,135,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
717,64,2,8,134,0,-1,-1,0,0,0,0,0,0,0,2,0,0,0,0
719,64,2,8,131,1,0,2,5,8,4,1,0,0,0,3,3,1,0,0
721,64,2,8,132,0,-1,-1,0,0,1,0,0,0,0,3,1,0,0,0
723,64,2,8,132,0,-1,-1,0,0,2,0,0,0,0,3,2,0,0,0
725,64,2,8,136,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
727,64,2,8,132,0,-1,-1,0,0,1,0,0,0,0,3,1,0,0,0
729,64,2,8,134,0,-1,-1,0,0,0,0,0,0,0,2,0,0,0,0
731,64,2,8,117,1,0,2,16,29,16,7,3,1,0,12,9,4,2,1
733,64,2,8,124,1,0,2,10,18,10,5,2,1,0,8,5,3,1,1
735,64,2,8,132,1,0,2,4,7,3,1,0,0,0,3,2,1,0,0
737,64,2,8,117,1,0,2,16,27,16,8,3,1,0,11,8,5,2,1
739,64,2,8,136,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
741,64,2,8,132,0,-1,-1,0,0,0,0,0,0,0,5,0,0,0,0
743,64,2,8,124,1,0,2,9,17,8,3,1,0,0,8,5,2,1,0
745,64,2,8,125,0,-1,-1,0,0,6,2,0,0,0,8,4,2,0,0
747,64,2,8,132,0,-1,-1,0,0,1,0,0,0,0,3,1,0,0,0
749,64,2,8,132,0,-1,-1,0,0,1,0,0,0,0,4,1,0,0,0
751,64,2,8,117,1,0,2,18,31,17,7,2,1,0,13,10,5,1,1
753,64,2,8,136,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
755,64,2,8,129,2,0,2,7,11,7,4,2,1,0,3,3,2,1,1
757,64,2,8,122,1,0,2,12,21,12,5,2,1,0,9,7,3,1,1
759,64,2,8,130,0,-1,-1,0,0,3,1,0,0,0,4,2,1,0,0
761,64,2,8,134,0,-1,-1,0,0,0,0,0,0,0,2,0,0,0,0
763,64,2,8,115,1,0,2,16,30,16,6,2,1,0,13,10,4,1,1
765,64,2,8,132,2,0,2,3,5,3,2,1,0,0,2,1,1,1,0
767,64,2,8,130,5,0,2,7,9,6,4,3,2,1,2,2,1,1,1
769,64,2,8,134,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
771,64,2,8,134,0,-1,-1,0,0,1,0,0,0,0,2,1,0,0,0
773,64,2,8,120,1,0,2,14,23,14,7,3,1,0,9,7,4,2,1
775,64,2,8,115,1,0,2,17,30,16,8,3,1,0,13,8,5,2,1
777,64,2,8,134,0,-1,-1,0,0,1,0,0,0,0,2,1,0,0,0
779,64,2,8,130,0,-1,-1,0,0,1,0,0,0,0,5,1,0,0,0
781,64,2,8,120,1,0,2,14,24,14,6,2,1,0,10,8,4,1,1
783,64,2,8,120,1,0,2,16,26,15,7,3,1,0,10,8,4,2,1
785,64,2,8,120,1,0,2,13,23,13,6,2,1,0,10,7,4,1,1
787,64,2,8,130,0,-1,-1,0,0,1,0,0,0,0,6,1,0,0,0
789,64,2,8,135,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
791,64,2,8,127,1,0,2,9,15,8,4,2,1,0,6,4,2,1,1
793,64,2,8,127,2,0,2,9,14,9,5,2,1,0,5,4,3,1,1
795,64,2,8,123,5,0,2,14,20,14,10,7,5,3,5,4,3,2,2
797,64,2,8,120,1,0,2,14,24,14,7,3,1,0,10,7,4,2,1
799,64,2,8,128,1,0,2,6,11,5,2,0,0,0,5,3,2,0,0
801,64,2,8,130,4,0,2,5,8,5,4,3,2,1,3,1,1,1,1
803,64,2,8,136,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
805,64,2,8,136,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
807,64,2,8,128,5,0,2,8,12,7,5,4,3,2,4,2,1,1,1
809,64,2,8,132,1,0,2,4,6,4,2,1,0,0,2,2,1,1,0
811,64,2,8,118,1,0,2,14,24,14,7,3,1,0,9,7,4,2,1
813,64,2,8,133,0,-1,-1,0,0,1,0,0,0,0,2,1,0,0,0
815,64,2,8,118,1,0,2,16,26,15,7,3,1,0,10,8,4,2,1
817,64,2,8,133,0,-1,-1,0,0,1,0,0,0,0,2,1,0,0,0
819,64,2,8,133,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
821,64,2,8,135,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
823,64,2,8,118,1,0,2,16,28,15,7,3,1,0,12,8,4,2,1
825,64,2,8,118,1,0,2,13,25,13,6,2,1,0,12,7,4,1,1
827,64,2,8,133,0,-1,-1,0,0,1,0,0,0,0,3,1,0,0,0
829,64,2,8,125,1,0,2,10,17,10,4,2,1,0,7,6,2,1,1
831,64,2,8,118,2,0,2,17,27,16,8,3,1,0,10,8,5,2,1
833,64,2,8,135,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
835,64,2,8,118,1,0,2,15,27,15,7,3,1,0,11,8,4,2,1
837,64,2,8,133,0,-1,-1,0,0,0,0,0,0,0,4,0,0,0,0
839,64,2,8,126,0,-1,-1,0,0,4,1,0,0,0,8,3,1,0,0
841,64,2,8,133,0,-1,-1,0,0,1,0,0,0,0,3,1,0,0,0
843,64,2,8,133,0,-1,-1,0,0,0,0,0,0,0,3,0,0,0,0
845,64,2,8,133,0,-1,-1,0,0,1,0,0,0,0,3,1,0,0,0
847,64,2,8,134,1,0,2,3,5,2,0,0,0,0,2,2,0,0,0
849,64,2,8,130,1,0,2,6,9,6,3,1,0,0,3,3,2,1,0
851,64,2,8,130,1,0,2,6,10,6,3,1,0,0,3,3,2,1,0
853,64,2,8,137,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
855,64,2,8,131,0,-1,-1,0,0,3,1,0,0,0,4,2,1,0,0
857,64,2,8,135,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
859,64,2,8,116,1,0,2,16,29,16,6,2,1,0,12,10,4,1,1
861,64,2,8,123,1,0,2,11,20,11,5,2,1,0,9,6,3,1,1
863,64,2,8,133,2,0,2,3,5,2,1,0,0,0,2,1,1,0,0
865,64,2,8,116,1,0,2,17,30,17,7,3,1,0,13,10,4,2,1
867,64,2,8,135,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
869,64,2,8,135,0,-1,-1,0,0,1,0,0,0,0,2,1,0,0,0
871,64,2,8,109,3,0,2,23,38,22,13,7,3,0,15,9,6,4,3
873,64,2,8,116,1,0,2,18,30,18,9,3,1,0,12,9,6,2,1
875,64,2,8,135,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
877,64,2,8,131,0,-1,-1,0,0,1,0,0,0,0,5,1,0,0,0
879,64,2,8,116,1,0,2,17,30,16,7,3,1,0,13,9,4,2,1
881,64,2,8,121,1,0,2,14,23,14,7,3,1,0,9,7,4,2,1
883,64,2,8,135,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
885,64,2,8,121,1,0,2,13,23,13,6,2,1,0,10,7,4,1,1
887,64,2,8,131,0,-1,-1,0,0,1,0,0,0,0,5,1,0,0,0
889,64,2,8,116,1,0,2,18,32,18,8,2,1,0,14,10,6,1,1
891,64,2,8,132,0,-1,-1,0,0,3,1,0,0,0,3,2,1,0,0
893,64,2,8,128,2,0,2,9,13,9,5,2,1,0,4,4,3,1,1
895,64,2,8,124,5,0,2,14,19,13,9,6,4,2,5,4,3,2,2
897,64,2,8,129,0,-1,-1,0,0,3,1,0,0,0,5,2,1,0,0
899,64,2,8,121,1,0,2,14,24,14,7,3,1,0,9,7,4,2,1
901,64,2,8,131,4,0,2,5,7,5,4,3,2,1,2,1,1,1,1
903,64,2,8,121,1,0,2,14,24,13,6,2,1,0,10,7,4,1,1
905,64,2,8,129,0,-1,-1,0,0,2,0,0,0,0,5,2,0,0,0
907,64,2,8,131,4,0,2,5,8,5,4,3,2,1,2,1,1,1,1
909,64,2,8,137,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
911,64,2,8,133,1,0,2,3,5,2,0,0,0,0,2,2,0,0,0
913,64,2,8,119,1,0,2,14,23,14,7,3,1,0,9,7,4,2,1
915,64,2,8,119,1,0,2,14,25,14,7,3,1,0,10,7,4,2,1
917,64,2,8,134,0,-1,-1,0,0,1,0,0,0,0,2,1,0,0,0
919,64,2,8,119,1,0,2,15,26,14,6,2,1,0,11,8,4,1,1
921,64,2,8,119,1,0,2,14,25,14,6,2,1,0,11,8,4,1,1
923,64,2,8,129,0,-1,-1,0,0,3,1,0,0,0,6,2,1,0,0
925,64,2,8,119,1,0,2,15,26,15,7,3,1,0,11,8,4,2,1
927,64,2,8,121,2,0,2,13,23,12,6,2,0,0,10,6,4,2,0
929,64,2,8,119,1,0,2,13,24,13,6,2,1,0,11,7,4,1,1
931,64,2,8,134,0,-1,-1,0,0,1,0,0,0,0,2,1,0,0,0
933,64,2,8,126,1,0,2,10,16,10,5,2,1,0,6,5,3,1,1
935,64,2,8,119,1,0,2,14,25,13,6,2,1,0,11,7,4,1,1
937,64,2,8,112,2,0,2,22,37,22,12,6,2,0,15,10,6,4,2
939,64,2,8,126,2,0,2,9,15,9,5,2,1,0,5,4,3,1,1
941,64,2,8,119,1,0,2,15,25,15,7,3,1,0,10,8,4,2,1
943,64,2,8,134,1,0,2,3,5,2,0,0,0,0,2,2,0,0,0
945,64,2,8,134,0,-1,-1,0,0,0,0,0,0,0,2,0,0,0,0
947,64,2,8,134,0,-1,-1,0,0,0,0,0,0,0,2,0,0,0,0
949,64,2,8,134,0,-1,-1,0,0,0,0,0,0,0,3,0,0,0,0
951,64,2,8,135,0,-1,-1,0,0,0,0,0,0,0,2,0,0,0,0
953,64,2,8,135,0,-1,-1,0,0,1,0,0,0,0,2,1,0,0,0
955,64,2,8,135,0,-1,-1,0,0,0,0,0,0,0,2,0,0,0,0
957,64,2,8,131,1,0,2,5,8,5,2,1,0,0,3,3,1,1,0
959,64,2,8,119,1,0,2,16,26,15,7,3,1,0,10,8,4,2,1
961,64,2,8,132,0,-1,-1,0,0,1,0,0,0,0,3,1,0,0,0
963,64,2,8,132,0,-1,-1,0,0,3,1,0,0,0,3,2,1,0,0
965,64,2,8,136,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
967,64,2,8,117,1,0,2,16,28,15,6,2,1,0,12,9,4,1,1
969,64,2,8,132,0,-1,-1,0,0,2,0,0,0,0,3,2,0,0,0
971,64,2,8,134,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
973,64,2,8,124,1,0,2,11,18,11,5,2,1,0,7,6,3,1,1
975,64,2,8,117,1,0,2,17,30,16,7,3,1,0,13,9,4,2,1
977,64,2,8,124,1,0,2,10,18,10,5,2,1,0,8,5,3,1,1
979,64,2,8,132,0,-1,-1,0,0,2,0,0,0,0,4,2,0,0,0
981,64,2,8,136,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
983,64,2,8,117,1,0,2,17,29,16,8,3,1,0,12,8,5,2,1
985,64,2,8,136,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
987,64,2,8,134,0,-1,-1,0,0,1,0,0,0,0,2,1,0,0,0
989,64,2,8,132,0,-1,-1,0,0,0,0,0,0,0,5,0,0,0,0
991,64,2,8,124,1,0,2,10,18,9,4,1,0,0,8,5,3,1,0
993,64,2,8,125,0,-1,-1,0,0,6,2,0,0,0,8,4,2,0,0
995,64,2,8,136,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
997,64,2,8,132,0,-1,-1,0,0,1,0,0,0,0,5,1,0,0,0
999,64,2,8,132,0,-1,-1,0,0,1,0,0,0,0,5,1,0,0,0
