n,steps,r_start,depth_len,selected_depths,selected_count,max_pairwise_overlap,min_pairwise_overlap,total_pair_count,disjoint_pair_count,has_disjoint_pair,first_pair,first_pair_overlap,first_pair_left_mass,first_pair_right_mass
941,64,2,8,2,1,0,0,0,0,False,,0,0,0
943,64,2,8,2,1,0,0,0,0,False,,0,0,0
945,64,2,8,,0,0,0,0,0,False,,0,0,0
947,64,2,8,,0,0,0,0,0,False,,0,0,0
949,64,2,8,,0,0,0,0,0,False,,0,0,0
951,64,2,8,,0,0,0,0,0,False,,0,0,0
953,64,2,8,,0,0,0,0,0,False,,0,0,0
955,64,2,8,,0,0,0,0,0,False,,0,0,0
957,64,2,8,2,1,0,0,0,0,False,,0,0,0
959,64,2,8,2,1,0,0,0,0,False,,0,0,0
961,64,2,8,,0,0,0,0,0,False,,0,0,0
963,64,2,8,,0,0,0,0,0,False,,0,0,0
965,64,2,8,,0,0,0,0,0,False,,0,0,0
967,64,2,8,2,1,0,0,0,0,False,,0,0,0
969,64,2,8,,0,0,0,0,0,False,,0,0,0
971,64,2,8,,0,0,0,0,0,False,,0,0,0
973,64,2,8,2,1,0,0,0,0,False,,0,0,0
975,64,2,8,2,1,0,0,0,0,False,,0,0,0
977,64,2,8,2,1,0,0,0,0,False,,0,0,0
979,64,2,8,,0,0,0,0,0,False,,0,0,0
981,64,2,8,,0,0,0,0,0,False,,0,0,0
983,64,2,8,2,1,0,0,0,0,False,,0,0,0
985,64,2,8,,0,0,0,0,0,False,,0,0,0
987,64,2,8,,0,0,0,0,0,False,,0,0,0
989,64,2,8,,0,0,0,0,0,False,,0,0,0
991,64,2,8,2,1,0,0,0,0,False,,0,0,0
993,64,2,8,,0,0,0,0,0,False,,0,0,0
995,64,2,8,,0,0,0,0,0,False,,0,0,0
997,64,2,8,,0,0,0,0,0,False,,0,0,0
999,64,2,8,,0,0,0,0,0,False,,0,0,0
